id_municipio,ano,tx_aprov,ensino,ideb
2806701,2021,86.73333333333333,medio,3.45
2900207,2021,85.1,medio,3
2900603,2021,75.9,medio,3.1
2901353,2021,74.6,medio,2.7
2901809,2021,81,medio,3.1
2902906,2021,79.3,medio,3.1
2904308,2021,84.1,medio,3.1
2905602,2021,83.6,medio,3.1
2906006,2021,81.1,medio,3.1
2906204,2021,85.7,medio,3.1
2907400,2021,84.7,medio,3.1
2917003,2021,94.8,medio,3.1
2917102,2021,85,medio,2.8
2919108,2021,89,medio,3.1
2920403,2021,80.76666666666667,medio,2.8
2920700,2021,80.8,medio,2.9
2922904,2021,75.7,medio,2.8
2925303,2021,77.06666666666666,medio,2.2
2925501,2021,75.33333333333334,medio,3.1
2926806,2021,69.7,medio,3.1
2927903,2021,84,medio,3.1
2928802,2021,76.9,medio,3
2928901,2021,78.26666666666667,medio,3
2929206,2021,82.4,medio,2.8
2929404,2021,78.5,medio,3.1
2930402,2021,73,medio,2.9
2931004,2021,77.6,medio,2.9
3101706,2021,90.19999999999999,medio,3.8499999999999996
3103603,2021,85.1,medio,2.6
3104007,2021,84.8,medio,4.300000000000001
3106200,2021,89.03333333333333,medio,4.300000000000001
3106705,2021,88.06666666666668,medio,4.25
3114105,2021,96.36666666666666,medio,5.65
3120904,2021,91.73333333333333,medio,4.35
3126109,2021,93.26666666666667,medio,4.85
3135100,2021,94.66666666666666,medio,4.25
3138401,2021,89.7,medio,4.05
3139003,2021,86.66666666666666,medio,4.35
3143302,2021,93.3,medio,4.45
3145059,2021,88.7,medio,2.9
3145901,2021,89.16666666666667,medio,4.85
3147907,2021,94,medio,4.699999999999999
3148103,2021,92.4,medio,4.300000000000001
3151800,2021,93.05,medio,4.25
3154606,2021,92.3,medio,3.75
3167608,2021,79.8,medio,3.1
3168606,2021,92.65,medio,2.5
3168705,2021,87.63333333333333,medio,4.8999999999999995
3170305,2021,98.4,medio,2.8
3170701,2021,91.5,medio,4.05
3171303,2021,88.65,medio,4.35
3201209,2021,92.8,medio,4.699999999999999
3201308,2021,93.6,medio,4.199999999999999
3203205,2021,88.26666666666667,medio,4.300000000000001
3204559,2021,86,medio,4.85
3205002,2021,85.53333333333333,medio,4.15
3205200,2021,92.03333333333333,medio,4.45
3300100,2021,88.5,medio,3.8499999999999996
3300902,2021,88.36666666666667,medio,3.9000000000000004
3301009,2021,92.3,medio,4.05
3302403,2021,91.7,medio,4.466666666666667
3303906,2021,92.05,medio,4.45
3304201,2021,84.2,medio,3.9333333333333336
3304706,2021,97.76666666666667,medio,5.033333333333333
3304904,2021,91.89999999999999,medio,4.466666666666667
3306305,2021,94.8,medio,4.733333333333333
3504503,2021,92.7,medio,4.300000000000001
3505500,2021,96.65,medio,4.55
3505708,2021,96.5,medio,4.866666666666667
3506508,2021,98.89999999999999,medio,4.85
3507001,2021,89.33333333333333,medio,4.15
3507605,2021,97.86666666666667,medio,4.55
3509502,2021,93.03333333333333,medio,4.55
3510401,2021,96.2,medio,4.85
3512001,2021,98.86666666666666,medio,4.199999999999999
3519071,2021,93.33333333333334,medio,4.766666666666667
3520103,2021,98.16666666666667,medio,4.533333333333333
3522307,2021,90.56666666666668,medio,4.45
3525904,2021,96.83333333333334,medio,5.333333333333333
3529302,2021,98.33333333333333,medio,5.466666666666667
3530508,2021,92.8,medio,2.3333333333333335
3538709,2021,93.56666666666666,medio,4.966666666666667
3547205,2021,100,medio,6.3
3547304,2021,99,medio,5.033333333333333
3549706,2021,96.39999999999999,medio,4.666666666666666
3550308,2021,92.2,medio,4.800000000000001
3550605,2021,91.5,medio,4.25
3551702,2021,96.95,medio,4.85
3552403,2021,93.2,medio,4.35
3554102,2021,95.30000000000001,medio,4.866666666666666
3555000,2021,97.63333333333334,medio,4.699999999999999
4102109,2021,97.44999999999999,medio,4.550000000000001
4105805,2021,93.1,medio,4.45
4108304,2021,94,medio,4.55
4112009,2021,99,medio,4.35
4118204,2021,93.05,medio,4.45
4118402,2021,90.80000000000001,medio,4.699999999999999
4119152,2021,91.85,medio,4.35
4119608,2021,98.63333333333334,medio,4.800000000000001
4120903,2021,94.7,medio,4.800000000000001
4121307,2021,99.4,medio,3.1
4127106,2021,93.10000000000001,medio,4.45
4128104,2021,93.53333333333333,medio,4.800000000000001
4201406,2021,80,medio,3.65
4203006,2021,71.75,medio,3.45
4204202,2021,78.63333333333333,medio,3.85
4204301,2021,85,medio,4.05
4204608,2021,78.63333333333334,medio,3.8499999999999996
